patient_id,full_name,gender,age,date_of_birth,district,national_id,phone,income_level,registration_date,is_active
PAT000001,Hassan Abdallah,Male,0,2024-01-01,South Unguja,ZNZ317984,255717775679,Low,2021-02-26,1
PAT000002,Fatuma Bakari,Female,66,1958-01-01,Kati,ZNZ886918,255730809587,Low,2020-09-16,1
PAT000003,Aisha Khalid,Female,11,2013-01-01,Chake-Chake,ZNZ868164,255795417897,Low,2019-11-16,1
PAT000004,Khadija Bakari,Female,7,2017-01-01,Wete,,255745569506,Upper-Middle,2018-06-05,1
PAT000005,Hamisi Salim,Male,51,1973-01-01,Wete,ZNZ986997,255798606138,Lower-Middle,2021-11-02,1
PAT000006,Mohammed Hassan,Male,,1950-01-01,Urban West,ZNZ535132,255790037806,Upper-Middle,2022-07-04,1
PAT000007,Hassan Suleiman,Male,,1967-01-01,Chake-Chake,ZNZ521441,255778571402,Lower-Middle,2022-12-10,1
PAT000008,Zawadi Omar,Female,,1984-01-01,Urban West,ZNZ787635,255720463128,Lower-Middle,2020-07-11,1
PAT000009,Maryam Suleiman,Female,,1984-01-01,Kati,,255797820133,Lower-Middle,2020-05-17,1
PAT000010,Latifa Suleiman,Female,,1980-01-01,North A,,255773872938,Low,2020-06-21,1
PAT000011,Bakari Hamisi,Male,,1977-01-01,Mkoani,ZNZ511267,255799911341,Low,2022-12-19,0
PAT000012,Zuwena Seif,Female,,1988-01-01,Urban West,ZNZ353516,255786698319,Low,2022-05-29,1
PAT000013,Fatuma Seif,Female,,1991-01-01,South Unguja,ZNZ822321,,Lower-Middle,2020-09-25,1
PAT000014,Ali Juma,Male,33,1991-01-01,Urban West,ZNZ157175,255772738549,Low,2021-12-31,1
PAT000015,Juma Khalid,Male,22,2002-01-01,Micheweni,ZNZ905408,255793377781,Low,2020-09-01,1
PAT000016,Hamisi Omar,Male,30,1994-01-01,Chake-Chake,ZNZ871272,255736859824,Low,2021-05-15,0
PAT000017,Nassor Juma,Male,7,2017-01-01,Wete,ZNZ217752,255735897482,Lower-Middle,2019-01-23,1
PAT000018,Pili Rashid,Female,30,1994-01-01,South Unguja,ZNZ393257,255792556904,Middle,2022-02-12,1
PAT000019,Ahmed Hamisi,Male,19,2005-01-01,Urban West,ZNZ315432,255733547377,Middle,2022-12-20,1
PAT000020,Haji Salim,Male,17,2007-01-01,Kati,ZNZ771502,255712455918,Low,2020-06-05,1
PAT000021,Rukia Khatib,Female,,1990-01-01,Wete,ZNZ433636,255724042008,Low,2020-04-17,1
PAT000022,Haji Juma,Male,,1967-01-01,Wete,ZNZ176693,,Lower-Middle,2021-09-25,1
PAT000023,Bakari Hassan,Male,,1975-01-01,Chake-Chake,ZNZ914294,255735476259,Middle,2018-12-06,1
PAT000024,Hamisi Salim,Male,,2015-01-01,Wete,ZNZ991798,255717955229,Low,2018-07-23,1
PAT000025,Mwinyi Amour,Male,,2005-01-01,North B,ZNZ283258,255764062018,Middle,2018-06-10,1
PAT000026,Latifa Mwinyi,Female,,1978-01-01,Wete,ZNZ312854,255757152541,Lower-Middle,2022-04-13,1
PAT000027,Rashid Vuai,Male,,2005-01-01,Micheweni,ZNZ604840,255772648941,Low,2019-01-27,1
PAT000028,Fatuma Vuai,Female,,1996-01-01,Mkoani,ZNZ880080,255746832178,Low,2020-02-08,1
PAT000029,Safia Mwinyi,Female,,1984-01-01,Chake-Chake,ZNZ184667,,Low,2022-08-28,1
PAT000030,Bakari Vuai,Male,19,2005-01-01,Urban West,ZNZ230334,255729470911,Middle,2019-07-29,1
PAT000031,Rehema Khatib,Female,33,1991-01-01,North A,ZNZ463581,255786807487,Lower-Middle,2019-06-18,1
PAT000032,Rashid Bakari,Male,13,2011-01-01,Urban West,ZNZ511811,255722901865,Lower-Middle,2020-12-29,1
PAT000033,Mohammed Bakari,Male,25,1999-01-01,Urban West,ZNZ933358,255754476240,Lower-Middle,2020-06-11,1
PAT000034,Rukia Juma,Female,36,1988-01-01,Micheweni,ZNZ666819,255747221001,Lower-Middle,2019-02-09,1
PAT000035,Rehema Mwinyi,Female,8,2016-01-01,Mkoani,ZNZ752315,255792620796,Lower-Middle,2019-08-31,1
PAT000036,Halima Hassan,Female,38,1986-01-01,Urban West,ZNZ357231,255779198496,Low,2022-08-26,1
PAT000037,Ali Amour,Male,34,1990-01-01,North B,ZNZ717423,255781908276,Low,2022-06-03,1
PAT000038,Abdallah Mwinyi,Male,43,1981-01-01,Mkoani,ZNZ868741,255739361667,Low,2022-03-21,1
PAT000039,Halima Abdallah,Female,35,1989-01-01,Chake-Chake,ZNZ302268,255755949429,Middle,2020-04-07,0
PAT000040,Ibrahim Rashid,Male,56,1968-01-01,South Unguja,ZNZ138409,,Low,2021-02-17,1
PAT000041,Ibrahim Vuai,Male,37,1987-01-01,Chake-Chake,ZNZ249457,255716355421,Lower-Middle,2019-11-21,1
PAT000042,Pili Ali,Female,25,1999-01-01,South Unguja,ZNZ423860,255730805820,Low,2022-09-08,1
PAT000043,Rashid Seif,Male,36,1988-01-01,Urban West,ZNZ176675,255717433980,Upper-Middle,2020-06-20,1
PAT000044,Zuwena Suleiman,Female,40,1984-01-01,Urban West,ZNZ646707,255771065507,Low,2021-05-25,1
PAT000045,Mwinyi Hassan,Male,35,1989-01-01,Urban West,ZNZ325825,255782070778,Low,2018-02-25,1
PAT000046,Zawadi Abdallah,Female,32,1992-01-01,North A,ZNZ420032,255717595853,Upper-Middle,2019-01-01,1
PAT000047,Hassan Mwinyi,Male,23,2001-01-01,Kati,ZNZ978908,255778015259,Lower-Middle,2022-09-19,1
PAT000048,Sitawa Mwinyi,Female,22,2002-01-01,Chake-Chake,ZNZ962035,255789325711,Upper-Middle,2022-03-08,1
PAT000049,Maryam Ali,Female,10,2014-01-01,North B,ZNZ179360,255718288515,Low,2022-11-03,1
PAT000050,Haji Ali,Male,62,1962-01-01,North B,ZNZ223662,255718884527,Low,2022-11-26,0
PAT000051,Zainab Seif,Female,13,2011-01-01,Urban West,ZNZ897406,255715005231,Middle,2019-03-31,0
PAT000052,Pili Abdallah,Female,21,2003-01-01,Wete,ZNZ880908,255778456067,Middle,2018-04-14,1
PAT000053,Mwajuma Hassan,Female,21,2003-01-01,Chake-Chake,ZNZ984080,255720781973,Low,2018-03-18,0
PAT000054,Latifa Hassan,Female,45,1979-01-01,Urban West,ZNZ922922,255731874795,Upper-Middle,2018-08-18,1
PAT000055,Rukia Khatib,Female,27,1997-01-01,Urban West,ZNZ155612,255778908835,Lower-Middle,2021-07-05,0
PAT000056,Maryam Khatib,Female,50,1974-01-01,Micheweni,ZNZ663998,255743059070,Middle,2021-07-11,1
PAT000057,Omar Suleiman,Male,24,2000-01-01,South Unguja,ZNZ737384,255755525374,Lower-Middle,2018-11-27,1
PAT000058,Hamisi Nassor,Male,39,1985-01-01,North B,ZNZ993844,255719407062,Low,2021-04-20,1
PAT000059,Khalid Mwinyi,Male,21,2003-01-01,Micheweni,ZNZ397668,255792188677,Upper-Middle,2020-06-11,1
PAT000060,Ali Vuai,Male,69,1955-01-01,South Unguja,ZNZ394366,255748807239,Upper-Middle,2022-11-27,1
PAT000061,Hamisi Said,Male,15,2009-01-01,Urban West,,255713301394,Lower-Middle,2022-04-23,1
PAT000062,Hassan Ali,Male,39,1985-01-01,North A,ZNZ510568,255787933150,Low,2019-11-19,1
PAT000063,Sitawa Mwinyi,Female,41,1983-01-01,North B,ZNZ214560,255755069853,Low,2018-01-27,1
PAT000064,Rashid Vuai,Male,41,1983-01-01,Mkoani,ZNZ662229,255763807136,Lower-Middle,2021-07-23,1
PAT000065,Mwinyi Hamisi,Male,32,1992-01-01,Kati,ZNZ963618,255730080139,Low,2022-08-03,1
PAT000066,Mwajuma Bakari,Female,30,1994-01-01,Mkoani,ZNZ303990,255769147144,Lower-Middle,2018-10-26,1
PAT000067,Salim Khatib,Male,35,1989-01-01,Wete,ZNZ100801,255765436107,Low,2020-08-14,1
PAT000068,Mwajuma Amour,Female,29,1995-01-01,South Unguja,ZNZ934397,255728866922,Middle,2020-03-09,1
PAT000069,Ibrahim Suleiman,Male,50,1974-01-01,Wete,ZNZ398113,255720117390,Low,2021-01-19,1
PAT000070,Rukia Juma,Female,65,1959-01-01,Kati,ZNZ191679,255735562996,Lower-Middle,2019-04-25,1
PAT000071,Aisha Ali,Female,23,2001-01-01,Urban West,ZNZ390507,255719003281,Lower-Middle,2019-07-27,1
PAT000072,Ali Mwinyi,Male,13,2011-01-01,South Unguja,ZNZ657639,255745284715,Lower-Middle,2019-04-03,1
PAT000073,Amour Omar,Male,33,1991-01-01,Wete,ZNZ712236,255731807008,Lower-Middle,2022-01-14,1
PAT000074,Safia Bakari,Female,70,1954-01-01,Wete,ZNZ942667,255750320606,Low,2018-12-31,1
PAT000075,Zawadi Hassan,Female,19,2005-01-01,Urban West,ZNZ361677,255769445827,Middle,2020-05-08,1
PAT000076,Khadija Suleiman,Female,56,1968-01-01,South Unguja,ZNZ749362,255772155971,Middle,2022-08-26,1
PAT000077,Safia Salim,Female,57,1967-01-01,Chake-Chake,ZNZ256810,255789600220,Middle,2018-12-17,1
PAT000078,Mwinyi Ali,Male,26,1998-01-01,North B,ZNZ119731,,Upper-Middle,2022-08-06,1
PAT000079,Abdallah Khalid,Male,44,1980-01-01,Chake-Chake,ZNZ285169,255737740293,Middle,2021-11-24,1
PAT000080,Rashid Mwinyi,Male,61,1963-01-01,North A,ZNZ365033,255743872374,Middle,2018-09-10,1
PAT000081,Zawadi Mwinyi,Female,26,1998-01-01,Kati,ZNZ306749,255743891894,Low,2020-02-20,1
PAT000082,Khadija Suleiman,Female,28,1996-01-01,South Unguja,ZNZ187154,255752364813,Lower-Middle,2020-03-13,1
PAT000083,Yusuf Suleiman,Male,25,1999-01-01,South Unguja,ZNZ319894,255748117599,Lower-Middle,2020-10-08,1
PAT000084,Omar Khatib,Male,18,2006-01-01,Urban West,ZNZ675932,255712795126,Low,2019-04-04,1
PAT000085,Hamisi Salim,Male,24,2000-01-01,Urban West,ZNZ520547,255740535317,Lower-Middle,2022-09-19,1
PAT000086,Omar Seif,Male,15,2009-01-01,Micheweni,ZNZ503311,,Low,2020-07-05,1
PAT000087,Rehema Seif,Female,32,1992-01-01,North B,ZNZ642994,255768807849,Middle,2019-05-14,1
PAT000088,Sitawa Abdallah,Female,20,2004-01-01,South Unguja,ZNZ590224,255744456905,Lower-Middle,2020-08-07,0
PAT000089,Aisha Nassor,Female,35,1989-01-01,Urban West,ZNZ581756,255785616014,Lower-Middle,2019-05-23,1
PAT000090,Ali Haji,Male,10,2014-01-01,Chake-Chake,ZNZ287805,255763004410,Upper-Middle,2021-08-20,1
PAT000091,Juma Bakari,Male,40,1984-01-01,Chake-Chake,ZNZ531231,255773539547,Lower-Middle,2019-05-16,1
PAT000092,Latifa Khatib,Female,44,1980-01-01,Urban West,ZNZ432343,255728292770,Lower-Middle,2020-03-13,1
PAT000093,Rehema Ali,Female,2,2022-01-01,Micheweni,ZNZ112818,,Low,2019-08-21,0
PAT000094,Rukia Bakari,Female,37,1987-01-01,Chake-Chake,ZNZ255049,255760283084,Middle,2018-06-15,1
PAT000095,Rahma Hassan,Female,50,1974-01-01,Micheweni,ZNZ708278,255746785218,Lower-Middle,2021-12-09,1
PAT000096,Sitawa Bakari,Female,13,2011-01-01,North A,ZNZ145784,255738616825,Lower-Middle,2019-04-07,1
PAT000097,Mariam Omar,Female,57,1967-01-01,Micheweni,ZNZ921391,255734467331,Low,2020-07-08,1
PAT000098,Mohammed Said,Male,41,1983-01-01,Urban West,ZNZ355564,,Lower-Middle,2018-04-24,1
PAT000099,Rashid Nassor,Male,23,2001-01-01,North A,ZNZ748140,,Low,2021-12-27,1
PAT000100,Mohammed Abdallah,Male,34,1990-01-01,Urban West,ZNZ643135,255797829519,Middle,2020-09-18,1
PAT000101,Hamisi Rashid,Male,43,1981-01-01,South Unguja,ZNZ104922,255723028847,Middle,2021-10-11,1
PAT000102,Zawadi Khatib,Female,33,1991-01-01,Urban West,ZNZ905983,255744806093,Middle,2022-09-15,1
PAT000103,Haji Juma,Male,43,1981-01-01,Kati,ZNZ417817,255784925048,Middle,2018-07-26,0
PAT000104,Aisha Bakari,Female,18,2006-01-01,North A,ZNZ716552,255765043685,Lower-Middle,2022-11-27,1
PAT000105,Latifa Hassan,Female,34,1990-01-01,Urban West,,255753036055,Middle,2021-06-12,1
PAT000106,Bakari Vuai,Male,12,2012-01-01,North B,ZNZ166691,255768811819,Lower-Middle,2022-01-05,1
PAT000107,Suleiman Juma,Male,33,1991-01-01,Urban West,ZNZ446249,,Middle,2021-10-10,1
PAT000108,Sitawa Seif,Female,18,2006-01-01,South Unguja,,255782062663,Low,2019-05-30,1
PAT000109,Ibrahim Abdallah,Male,23,2001-01-01,North A,ZNZ432171,255773082456,Low,2021-05-16,1
PAT000110,Hamisi Nassor,Male,54,1970-01-01,Urban West,ZNZ910658,255775633624,Lower-Middle,2019-12-10,1
PAT000111,Mohammed Juma,Male,52,1972-01-01,Urban West,ZNZ672668,255739025773,Lower-Middle,2021-02-22,1
PAT000112,Nassor Khatib,Male,44,1980-01-01,North B,ZNZ416689,255752197411,Low,2018-05-18,1
PAT000113,Rahma Hassan,Female,15,2009-01-01,Urban West,ZNZ215981,255799143466,Middle,2018-12-05,1
PAT000114,Maryam Abdallah,Female,27,1997-01-01,Chake-Chake,ZNZ373438,255753105220,Low,2019-06-21,1
PAT000115,Zuwena Said,Female,50,1974-01-01,Micheweni,ZNZ210777,255785404817,Low,2018-03-09,1
PAT000116,Halima Nassor,Female,34,1990-01-01,Micheweni,ZNZ715837,255729973915,Middle,2022-05-16,1
PAT000117,Amina Bakari,Female,66,1958-01-01,South Unguja,ZNZ731036,,Lower-Middle,2022-04-14,1
PAT000118,Salim Juma,Male,41,1983-01-01,South Unguja,ZNZ902523,,Middle,2019-01-18,1
PAT000119,Asha Suleiman,Female,34,1990-01-01,Kati,ZNZ755362,255782239282,Lower-Middle,2018-01-19,1
PAT000120,Pili Hassan,Female,27,1997-01-01,Urban West,ZNZ534174,255778597407,Upper-Middle,2019-11-14,1
PAT000121,Maryam Haji,Female,34,1990-01-01,Urban West,ZNZ776067,255749483623,Lower-Middle,2022-01-13,1
PAT000122,Sitawa Suleiman,Female,29,1995-01-01,Urban West,ZNZ833682,255783525979,Low,2018-03-15,1
PAT000123,Abdallah Seif,Male,46,1978-01-01,Urban West,ZNZ167421,255799473837,Lower-Middle,2019-07-27,1
PAT000124,Amour Mohammed,Male,50,1974-01-01,Urban West,ZNZ402756,255753714543,Low,2020-07-27,1
PAT000125,Mwinyi Seif,Male,22,2002-01-01,Wete,ZNZ109491,255734093575,Upper-Middle,2022-08-16,1
PAT000126,Nassor Abdallah,Male,13,2011-01-01,North B,ZNZ611662,255722299695,Low,2021-07-23,1
PAT000127,Aisha Salim,Female,4,2020-01-01,Kati,ZNZ862803,255788056716,Lower-Middle,2020-12-07,0
PAT000128,Zawadi Hamisi,Female,39,1985-01-01,Urban West,ZNZ914746,255794717715,Low,2018-07-30,1
PAT000129,Ahmed Bakari,Male,17,2007-01-01,North A,ZNZ449230,255779853550,Middle,2020-05-04,1
PAT000130,Halima Amour,Female,0,2024-01-01,Kati,ZNZ342223,255777340278,Low,2019-10-13,1
PAT000131,Haji Hamisi,Male,41,1983-01-01,Chake-Chake,,255793693742,Upper-Middle,2022-07-04,0
PAT000132,Rashid Khalid,Male,74,1950-01-01,North B,ZNZ794779,255753958766,Low,2020-09-20,1
PAT000133,Yusuf Juma,Male,34,1990-01-01,South Unguja,ZNZ128876,255721791470,Low,2019-11-26,1
PAT000134,Hassan Juma,Male,48,1976-01-01,Mkoani,ZNZ775331,255715050058,Low,2019-06-24,1
PAT000135,Zainab Hassan,Female,33,1991-01-01,North B,ZNZ411372,255763355494,Middle,2022-09-29,0
PAT000136,Bakari Abdallah,Male,33,1991-01-01,Urban West,ZNZ352313,255787836661,Middle,2021-04-29,1
PAT000137,Safia Omar,Female,45,1979-01-01,Chake-Chake,ZNZ161260,255734556224,Low,2021-08-31,0
PAT000138,Mariam Suleiman,Female,27,1997-01-01,South Unguja,ZNZ496562,255750676214,Low,2020-06-19,1
PAT000139,Ahmed Said,Male,39,1985-01-01,Urban West,ZNZ680464,255781622071,Middle,2022-05-06,1
PAT000140,Aisha Suleiman,Female,36,1988-01-01,South Unguja,ZNZ617561,255762056502,Low,2022-08-12,0
PAT000141,Nasra Ali,Female,21,2003-01-01,North B,ZNZ790753,255765027643,Low,2020-02-19,0
PAT000142,Salim Bakari,Male,50,1974-01-01,Mkoani,ZNZ959705,255796379410,Low,2022-05-05,1
PAT000143,Nasra Khatib,Female,29,1995-01-01,Urban West,ZNZ468781,255733507635,Low,2022-11-17,1
PAT000144,Hassan Juma,Male,22,2002-01-01,Mkoani,ZNZ484083,255794597796,Low,2021-02-10,1
PAT000145,Khalid Khatib,Male,43,1981-01-01,South Unguja,ZNZ465088,255774370273,Low,2018-06-19,0
PAT000146,Nassor Nassor,Male,20,2004-01-01,North B,ZNZ222013,255784467919,Lower-Middle,2022-01-31,1
PAT000147,Pili Juma,Female,32,1992-01-01,Urban West,ZNZ963165,255794231510,Middle,2022-08-29,1
PAT000148,Rukia Salim,Female,31,1993-01-01,Wete,ZNZ538895,255753883023,Low,2020-11-03,0
PAT000149,Mohammed Salim,Male,52,1972-01-01,Kati,ZNZ209264,255791260962,Middle,2022-10-05,0
PAT000150,Ibrahim Khatib,Male,42,1982-01-01,North A,ZNZ484755,255744401837,Low,2018-10-15,1
PAT000151,Safia Salim,Female,31,1993-01-01,Urban West,,,Middle,2018-07-08,1
PAT000152,Haji Mwinyi,Male,48,1976-01-01,South Unguja,ZNZ983727,255749897301,Low,2020-07-02,1
PAT000153,Nassor Ali,Male,57,1967-01-01,Chake-Chake,ZNZ402138,255713401447,Middle,2021-03-24,1
PAT000154,Fatuma Haji,Female,40,1984-01-01,Urban West,ZNZ526941,255722176872,Low,2022-05-10,1
PAT000155,Pili Seif,Female,32,1992-01-01,Micheweni,ZNZ486354,255760205334,Middle,2019-11-25,1
PAT000156,Yusuf Khalid,Male,14,2010-01-01,South Unguja,ZNZ488026,255762096342,Low,2022-10-12,1
